bond_id,name,meeting_date,before_price,after_price,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10,T+11,T+12,T+13,T+14,T+15,T+16,T+17,T+18,T+19,T+20,T+21,T+22,T+23,T+24,T+25,T+26,T+27,T+28,T+29,T+30,T+31,T+32,T+33,T+34,T+35,T+36,T+37,T+38,T+39,T+40,T+41,T+42,T+43,T+44,T+45,T+46,T+47,T+48,T+49,T+50,T+51,T+52,T+53,T+54,T+55,T+56,T+57,T+58,T+59,T+60
113673,岱美转债,2024-03-15,15.720,13.310,122.32,120.9,119.89,120.58,120.61,119.85,120.09,118.95,117.5,117.94,118.38,118.33,117.63,117.28,118.68,118.44,118.44,119.25,119.6,118.75,116.47,117.43,118.5,117.33,117.75,117.77,119.74,119.18,119.86,121.2,126.23,127.08,127.0,125.88,126.68,126.55,127.18,127.12,125.84,126.01,125.25,125.5,124.96,125.2,125.04,124.24,124.3,123.68,123.55,123.8,123.6,122.76,123.12,123.44,122.51,122.26,121.84,122.02,121.4,121.5,122.53
127089,晶澳转债,2025-07-22,38.220,11.660,115.28,122.5,124.67,124.35,122.39,124.0,123.32,120.6,121.49,121.8,122.54,123.18,122.35,122.22,123.58,123.11,123.45,122.6,124.76,126.46,126.36,126.7,127.36,128.4,128.91,128.3,124.2,124.83,126.27,124.5,123.07,125.03,127.8,132.5,132.55,129.2,128.3,129.23,129.23,127.83,128.16,129.47,127.12,125.68,124.54,124.25,127.2,127.0,127.22,128.37,129.09,129.56,128.51,127.77,129.37,131.01,129.6,127.9,127.16,127.86,127.33
123207,冠中转债,2024-02-26,16.560,10.500,109.7,114.7,113.17,114.6,113.8,113.31,110.82,111.44,111.16,111.17,112.4,113.66,113.63,113.38,114.66,116.63,116.5,117.33,116.71,115.0,113.88,113.9,111.1,112.63,114.5,115.51,115.66,115.51,114.13,114.82,113.72,114.33,114.28,110.06,105.7,109.55,109.02,108.1,106.66,107.53,108.37,108.97,108.2,108.34,110.09,113.37,114.78,114.15,116.5,114.5,113.2,111.48,110.38,110.96,111.15,111.1,110.01,111.69,110.95,111.0,111.32
123205,大叶转债,2024-03-06,20.010,11.190,113.88,115.81,116.3,116.5,117.6,117.84,118.55,120.01,123.3,124.26,124.74,125.28,123.47,122.11,123.01,119.32,121.18,123.6,125.81,126.07,126.1,129.66,131.5,128.34,129.06,130.7,123.5,116.9,121.2,119.01,117.78,123.0,123.05,126.01,127.75,127.6,130.4,131.0,133.95,131.58,130.7,133.98,137.2,142.6,143.34,137.38,137.3,132.72,133.35,132.0,130.2,128.76,130.29,134.55,131.13,131.43,131.5,131.9,129.16,127.55,124.1
118038,金宏转债,2024-10-14,26.970,19.070,113.9,115.54,117.1,117.0,120.86,122.7,121.44,121.51,120.48,121.92,122.41,120.19,117.6,119.19,118.37,118.79,120.17,119.73,120.38,121.09,123.97,123.52,123.0,121.31,119.01,116.06,117.95,119.24,118.97,117.06,118.0,117.33,118.23,118.03,118.5,119.74,119.8,119.26,119.2,119.88,118.95,120.57,122.56,122.61,121.81,120.0,118.79,120.02,119.7,120.18,119.99,120.11,119.06,119.5,119.46,119.34,118.49,117.15,117.34,116.84,118.16
123204,金丹转债,2024-03-08,20.940,15.080,109.0,113.4,116.17,116.8,115.52,119.4,122.9,123.5,123.86,122.06,120.29,118.76,118.16,116.1,117.5,118.8,121.2,122.06,122.53,119.11,121.27,120.4,121.0,120.5,115.29,111.01,115.36,115.52,115.92,113.41,114.0,114.97,115.85,117.19,120.52,123.1,142.0,136.5,132.94,132.32,131.26,126.0,126.2,129.19,128.3,130.15,129.36,128.47,126.51,124.04,126.0,127.14,125.8,124.92,124.35,123.92,121.58,121.19,119.9,117.63,119.7
110094,众和转债,2024-02-02,8.200,7.040,111.93,112.46,118.59,121.0,122.0,121.64,121.29,121.67,121.7,121.53,120.4,120.08,118.91,119.87,120.18,120.14,119.5,121.33,121.46,121.75,122.3,121.61,121.57,122.33,124.5,125.46,124.7,125.39,125.66,124.57,125.12,124.84,122.59,124.09,127.0,127.18,127.0,129.02,128.26,128.78,128.38,129.06,130.54,126.92,126.67,130.1,131.74,129.3,127.78,125.64,128.97,127.4,129.65,129.05,128.43,129.51,129.49,128.43,130.89,131.6,129.53
111015,东亚转债,2024-04-01,24.950,20.600,120.46,124.15,126.45,127.02,129.39,129.84,131.41,131.96,127.5,128.03,129.83,131.49,133.19,131.46,131.47,129.1,128.31,130.0,131.19,133.92,136.23,136.35,135.61,137.11,133.13,130.81,130.02,128.03,128.26,127.89,129.16,126.97,126.2,125.41,123.42,123.26,121.57,120.72,119.55,120.03,118.72,119.94,119.4,116.23,118.36,117.38,117.62,117.79,120.2,121.78,121.09,121.33,119.85,118.98,114.99,116.59,119.55,118.43,120.21,119.0,118.17
118037,上声转债,2024-06-06,47.540,29.580,116.9,118.43,120.11,121.92,123.68,123.28,122.5,123.09,122.35,120.11,118.79,117.14,116.29,118.58,118.2,119.3,119.6,118.75,116.84,116.8,116.34,114.25,116.27,116.96,119.44,118.45,116.87,116.19,113.45,112.67,113.41,111.89,109.67,106.78,106.82,108.3,106.62,106.1,109.09,108.55,107.69,106.19,107.38,108.1,107.88,106.88,106.61,106.57,106.16,104.85,103.18,102.89,100.03,100.92,101.41,99.8,103.22,101.18,102.17,105.21,106.65
123203,明电转02,2024-05-07,14.750,12.090,119.02,120.52,122.07,120.58,118.6,118.42,118.07,118.53,119.08,119.69,119.69,119.9,118.73,118.37,118.6,118.17,117.77,119.75,121.24,120.7,118.46,118.24,128.83,125.0,128.0,131.0,128.03,131.5,136.0,142.5,137.18,133.7,132.2,128.8,130.9,133.08,128.28,130.1,129.7,127.2,125.16,123.22,122.6,119.45,126.5,124.76,130.6,128.99,125.92,126.92,123.3,122.3,122.48,121.19,118.32,116.57,115.93,117.3,117.15,117.59,120.2
