trade_date,n_bonds,valid_returns,pool_mean_return,pool_median_return,min_bond_return,median_bond_return,drop_share_0p03,drop_share_0p05,missing_return_ratio
20221101,443,442,0.010300251326432034,0.008145545033769408,-0.09357974505996869,0.008145545033769408,0.013544018058690745,0.004514672686230248,0.0022573363431150906
20221102,444,443,0.01102896644158357,0.007382608695652104,-0.07015485687470657,0.007382608695652104,0.009009009009009009,0.0022522522522522522,0.0022522522522522292
20221103,445,444,0.0013199247144827916,0.0008580757628086078,-0.07775434243176182,0.0008580757628086078,0.01348314606741573,0.006741573033707865,0.0022471910112359383
20221104,446,445,0.013912978188240126,0.008704638129108044,-0.025282699026316302,0.008704638129108044,0.0,0.0,0.0022421524663677195
20221107,449,446,0.0005404860717446807,8.030972119354995e-05,-0.0648756218905473,8.030972119354995e-05,0.015590200445434299,0.004454342984409799,0.006681514476614692
20221108,449,449,-0.0036361134507119862,-0.0030370942812982804,-0.07341111064313688,-0.0030370942812982804,0.0200445434298441,0.0066815144766146995,0.0
20221109,450,448,-0.0010629279461250938,-0.00157251228318539,-0.05854614329566976,-0.00157251228318539,0.008888888888888889,0.0022222222222222222,0.004444444444444473
20221110,450,450,-0.004351281664900492,-0.0027965128310071807,-0.08478649675832772,-0.0027965128310071807,0.057777777777777775,0.008888888888888889,0.0
20221111,449,449,0.0066721633803877925,0.005533532885688919,-0.14916073861463985,0.005533532885688919,0.015590200445434299,0.0066815144766146995,0.0
20221114,450,449,-0.006211499257148467,-0.004255639664068056,-0.12712091098861267,-0.004255639664068056,0.08222222222222222,0.02666666666666667,0.0022222222222222365
20221115,452,450,0.004968050569110097,0.0021486486139553618,-0.05474876217099811,0.0021486486139553618,0.01327433628318584,0.004424778761061947,0.004424778761061954
20221116,453,452,-0.009319407149440696,-0.008291211668742582,-0.0764965503246754,-0.008291211668742582,0.037527593818984545,0.008830022075055188,0.002207505518763808
20221117,454,453,-0.012177252492887449,-0.012643395607997432,-0.061450030169265535,-0.012643395607997432,0.06607929515418502,0.00881057268722467,0.0022026431718061845
20221118,455,453,-0.0032197641017544447,-0.0031737528206625676,-0.1275373515594821,-0.0031737528206625676,0.026373626373626374,0.008791208791208791,0.00439560439560438
20221121,456,455,0.003705231327235219,9.157341440690914e-06,-0.04466423357664229,9.157341440690914e-06,0.006578947368421052,0.0,0.002192982456140302
20221122,456,456,-0.0036917658098390145,-0.0021718379472238647,-0.19999999999999996,-0.0021718379472238647,0.043859649122807015,0.013157894736842105,0.0
