name,description,period,start,end,excluded_count,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
exclude_short_maturity,Exclude CBs whose train-window remaining maturity ever falls below 1 year.,2026,20260101,20260508,231,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.290149,0.21761,-0.060622,0.5895,95,80,0.202455
exclude_small_size,Exclude CBs with issue_size below 10 yi.,2019,20190101,20191231,368,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.118011,-0.089355,-0.134853,0.6846,130,244,-0.123068
exclude_small_size,Exclude CBs with issue_size below 10 yi.,2020,20200101,20201231,368,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.015965,-0.120132,-0.165597,0.4342,76,243,-0.161531
exclude_small_size,Exclude CBs with issue_size below 10 yi.,2021,20210101,20211231,368,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.305716,0.184018,-0.105544,0.6667,81,243,0.157632
exclude_small_size,Exclude CBs with issue_size below 10 yi.,2022,20220101,20221231,368,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.173222,-0.011201,-0.209167,0.3358,137,242,-0.063493
exclude_small_size,Exclude CBs with issue_size below 10 yi.,2023,20230101,20231231,368,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.065257,-0.037637,-0.127471,0.3731,134,242,-0.069505
exclude_small_size,Exclude CBs with issue_size below 10 yi.,2024,20240101,20241231,368,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.021276,0.025634,-0.140462,0.3868,212,242,-0.009482
exclude_small_size,Exclude CBs with issue_size below 10 yi.,2025,20250101,20251231,368,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.143339,-0.094751,-0.127186,0.5041,121,243,-0.126548
exclude_small_size,Exclude CBs with issue_size below 10 yi.,2026,20260101,20260508,368,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.210969,0.13843,-0.049614,0.6094,64,80,0.126026
combined_lowrisk_universe,"Exclude far-above-bond-floor, high-moneyness, or short-maturity CBs.",2019,20190101,20191231,441,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.011606,-0.195759,-0.072894,0.6364,55,244,-0.213982
combined_lowrisk_universe,"Exclude far-above-bond-floor, high-moneyness, or short-maturity CBs.",2020,20200101,20201231,441,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.051841,-0.156008,-0.097157,0.4494,89,243,-0.180297
combined_lowrisk_universe,"Exclude far-above-bond-floor, high-moneyness, or short-maturity CBs.",2021,20210101,20211231,441,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.060408,-0.06129,-0.098757,0.6267,75,243,-0.085979
combined_lowrisk_universe,"Exclude far-above-bond-floor, high-moneyness, or short-maturity CBs.",2022,20220101,20221231,441,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.138706,0.023315,-0.151225,0.3956,182,242,-0.014491
combined_lowrisk_universe,"Exclude far-above-bond-floor, high-moneyness, or short-maturity CBs.",2023,20230101,20231231,441,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.009884,0.017735,-0.087516,0.4438,178,242,-0.004144
combined_lowrisk_universe,"Exclude far-above-bond-floor, high-moneyness, or short-maturity CBs.",2024,20240101,20241231,441,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.030064,0.034423,-0.172377,0.4709,172,242,-0.008671
combined_lowrisk_universe,"Exclude far-above-bond-floor, high-moneyness, or short-maturity CBs.",2025,20250101,20251231,441,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.38702,0.14893,-0.15031,0.6279,129,243,0.111353
combined_lowrisk_universe,"Exclude far-above-bond-floor, high-moneyness, or short-maturity CBs.",2026,20260101,20260508,441,"{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.270287,0.197748,-0.058105,0.6353,85,80,0.183222
