bond_id,name,board_announce_date,meeting_date,effective_date,before_price,after_price,down_floor_price,ratio,is_deep,year,change_reason
113654,永02转债,,2024-09-11,2024-09-13,13.86,9.7,6.08,0.6998556998556998,True,2024.0,
113655,欧22转债,,2025-08-22,2025-08-26,118.48,54.0,54.0,0.45577312626603644,True,2025.0,
113657,再22转债,,2025-01-06,2025-01-16,5.91,4.25,3.66,0.7191201353637902,True,2025.0,
113658,密卫转债,,2024-05-06,2024-05-08,134.11,57.0,54.85,0.4250242338378942,True,2024.0,
113661,福22转债,,2025-03-13,2025-03-17,32.94,15.0,14.96,0.45537340619307837,True,2025.0,
113663,新化转债,,2024-09-18,2024-09-20,31.42,20.25,20.25,0.6444939528962444,True,2024.0,
113665,汇通转债,,2025-10-10,2025-10-14,8.07,6.29,6.29,0.7794299876084263,False,2025.0,
113668,鹿山转债,,2024-07-22,2024-07-24,58.68,22.98,22.97,0.3916155419222904,True,2024.0,
113673,岱美转债,,2024-03-15,2024-03-19,15.72,13.31,13.304,0.8466921119592875,False,2024.0,
113676,荣23转债,,2024-01-17,2024-01-18,15.74,12.06,12.06,0.7662007623888183,False,2024.0,
113676,荣23转债,,2023-12-08,,,,,,False,2023.0,
113678,中贝转债,,2024-07-11,2024-07-15,32.88,27.45,27.441,0.83485401459854,False,2024.0,
113678,中贝转债,,2024-03-07,,,,,,False,2024.0,
118000,嘉元转债,,2025-09-16,2025-09-18,41.88,33.18,32.97,0.7922636103151862,False,2025.0,
118000,嘉元转债,,2024-07-04,2024-07-11,50.47,41.88,10.47,0.8297998811174956,False,2024.0,
118003,华兴转债,,2024-03-08,2024-03-12,30.43,26.36,26.35,0.8662504107788367,False,2024.0,
118003,华兴转债,,2022-06-08,2022-06-10,39.33,31.0,31.0,0.7882023900330537,False,2022.0,
118006,阿拉转债,,2025-03-24,2025-03-26,19.89,16.17,15.57,0.8129713423831072,False,2025.0,
118006,阿拉转债,,2022-12-19,2022-12-21,45.23,39.88,39.66,0.8817156754366572,False,2022.0,
118007,山石转债,,2025-07-14,2025-07-16,24.52,16.5,16.04,0.6729200652528549,True,2025.0,
118008,海优转债,,2025-04-21,2025-04-23,69.98,46.8,39.09,0.6687625035724492,True,2025.0,
118008,海优转债,,2024-12-10,2024-12-12,109.7,69.98,40.9,0.6379216043755698,True,2024.0,
118008,海优转债,,2024-07-11,2024-07-15,217.3,109.82,29.82,0.5053842613897837,True,2024.0,
